V_apr,V_inc,V_age,V_per,W_apr,W_inc,W_age,W_per
7,6,3,2.7093196961580457,0.8008440398447528,0.22372164119250615,0.7490454013313361,0.7574722769286297
5,2,2,9.099648122474381,0.7239923574990804,0.27815716958273107,0.6405394366171526,0.6610297830971276
5,2,2,1.2316253143834488,0.7951505191171889,0.2718022703083471,0.8597806075865397,0.8535579431214981
7,2,6,2.7203933669094216,0.5708216198398376,0.30433910434834127,0.5491382002411549,0.7421081953881968
4,4,3,8.076133088930304,0.6654259254343939,0.3431573078554796,0.7309192994663356,0.7421377992727777
6,8,2,2.3954132143811204,0.7072748700217295,0.31623751873765804,0.7976473037284465,0.6742067296978045
4,4,2,8.80146692441633,0.6930024484356431,0.3768986658679485,0.8282631030818696,0.7858206426468318
3,2,8,8.68529015889509,0.6779803714722117,0.2823192408905866,0.7502503920471496,0.7981810643930416
7,4,2,0.8660870050258773,0.6153193096955905,0.37792522771047155,0.7720444576663699,0.7846156980470953
4,4,4,8.947842662024092,0.823807534375856,0.2542184599684764,0.8306979128686574,0.8784322894800137
4,6,3,0.9895445111866841,0.6605119266440409,0.3109224287527777,0.5665842525335899,0.8529135598049773
8,2,4,7.5645313221532176,0.6970146205739055,0.37774021496506294,0.821455905133167,0.9675734107966126
5,2,8,7.516309299076055,0.5154543337414541,0.37814183627908937,0.8475599536490546,0.8037070603627163
5,4,4,8.750132517918296,0.6821348867969339,0.3732766273329671,0.6162177998271362,0.7030690682147493
6,2,3,6.308729232891594,0.7853206784448296,0.11079296454279547,0.769148120976165,0.9255694635555534
5,6,3,8.586455635877222,0.7598261157858331,0.3554442716792322,0.689517186166902,0.6017921544736835
4,4,2,1.77967083969776,0.8634899030204028,0.2780883325248205,0.7922366652479514,0.7423899428094366
4,2,3,5.67797175922288,0.6144250655485233,0.15189925916938837,0.591146205631473,0.8003801942273902
5,6,2,4.6794717277559315,0.824363276217564,0.4643720752907229,0.7243676450268406,0.7264407067124191
5,6,3,1.4593191704245345,0.562171922686115,0.19968203163790227,0.6690118694501972,0.8594028310543395
6,2,2,7.785470322478538,0.7024735990714619,0.36160297858069934,0.6797842456803526,0.7975710750816842
5,2,2,7.074075174511005,0.6615949972544822,0.30351160018662765,0.7292857373530842,0.784686404003214
8,4,3,2.175755934138448,1.0,0.20149136478419935,0.7443010473652321,0.7643972632973512
7,6,3,7.818893119723955,0.7635022065301404,0.407972331196181,0.6667204334239947,0.7092106949591522
5,4,1,6.616389021201724,0.670132029730078,0.3032301874052127,0.6327006240013323,0.9046355395193311
5,2,2,1.51761710661946,0.7234692217914976,0.19782696109737466,0.6933654369050625,0.8220019726370364
5,2,3,4.402565614672172,0.719040358269618,0.3420801512754773,0.7336238033914991,0.8816947603316648
6,4,3,2.700269266722789,0.532529763871809,0.2086312123124161,0.8461059609197558,0.7509869168643292
5,6,4,3.5652078689783586,0.5417876358472525,0.3156918323080066,0.7827154732818761,0.5053874830278899
7,2,2,1.4669135663654698,0.4768903835480376,0.46784236927070594,0.6858291932594797,0.7333838146281735
5,4,2,5.222706130899523,0.6294702907841634,0.27247873216275637,0.7567709973766548,0.7439995709801929
3,1,8,7.057042314187805,0.7566463375168438,0.3679972611844468,0.5713885591841933,0.9903080411170667
6,4,2,9.708310551773586,0.5836369923817224,0.17555188893652554,0.6556504782599126,0.8555850568797895
6,4,2,4.561800843531245,0.7650962987272314,0.39996556968787556,0.706197302652006,0.7728602822972334
4,2,3,9.947710448636823,0.7785302459666545,0.44292250665186317,0.7202846975649598,0.7425510382365401
6,2,3,3.149103061512669,0.7546906847026884,0.3485369068411584,0.9034738143339771,0.7673577460024149
9,1,4,2.276722750284729,0.5542083456086742,0.19617152782863462,0.5609720080836303,0.9227425334111927
4,2,8,9.892004203320461,0.672789477175203,0.2503898615061332,0.7019463822870673,0.6312113758785493
5,4,4,9.248759478168392,0.7613638268296656,0.4289312355896787,0.7555057153669282,0.8585190564861992
4,4,2,9.428719282080772,0.7839318782106086,0.30014078035806224,0.6660440455213829,0.8582720403235515
4,2,2,2.622957285356873,0.6548830257457443,0.31293578523636556,0.7023277766448167,0.909128293626274
6,1,4,2.7655857841479357,0.6642573770577609,0.21160270136200043,0.9558742078416944,0.9146744223786792
5,2,4,4.3012592766010656,0.7143256340281174,0.10457344673686661,0.6803594949428777,0.6639676779685252
8,2,8,2.817630635976532,0.7447336622650251,0.38594327685552193,0.7110614459859312,0.8806480286370223
4,6,8,7.3877399632361564,0.6188289868149482,0.45801203202851126,0.7249600015497767,0.6329188005320137
5,4,2,6.649891871096281,0.7787730389212792,0.250976666424238,0.7401838498499065,0.7255998366398106
5,2,8,3.2023454993138314,0.5883628274593182,0.12992934566818506,0.7570010459739623,0.703702561223976
6,2,8,0.5979224079668388,0.7002059286071776,0.4357704514691715,0.8264938362975788,0.758728694955253
7,2,8,7.08400787030488,0.817967094194861,0.4000595571445095,0.7754348284209535,0.8594999811721082
7,2,10,5.375133259802346,0.6715935901370423,0.2737570279516827,0.6732009493358505,0.7883688259496782
